kW,V
9.6,384.0
9.958,383.0
9.6,384.0
9.958,383.0
9.958,383.0
9.958,383.0
10.314,382.0
10.341,383.0
10.341,383.0
9.958,383.0
9.216,384.0
8.47,385.0
7.353,387.0
-1.209,403.0
-1.616,404.0
-0.401,401.0
0.0,400.0
0.0,400.0
0.0,400.0
0.0,400.0
0.0,400.0
0.0,401.0
1.197,399.0
1.99,398.0
2.388,398.0
1.985,397.0
1.588,397.0
1.197,399.0
0.8,400.0
1.197,399.0
1.197,399.0
1.197,399.0
1.197,399.0
1.197,399.0
1.197,399.0
0.8,400.0
0.0,401.0
0.401,401.0
1.596,399.0
1.596,399.0
1.592,398.0
2.382,397.0
2.772,396.0
2.772,396.0
2.772,396.0
2.376,396.0
1.985,397.0
1.985,397.0
1.985,397.0
3.168,396.0
3.16,395.0
2.772,396.0
2.376,396.0
1.588,397.0
1.592,398.0
1.592,398.0
1.99,398.0
2.772,396.0
2.772,396.0
2.772,396.0
3.16,395.0
3.16,395.0
3.16,395.0
3.555,395.0
3.546,394.0
3.94,394.0
4.704,392.0
6.24,390.0
6.24,390.0
6.24,390.0
6.24,390.0
6.224,389.0
6.224,389.0
6.596,388.0
6.596,388.0
6.596,388.0
6.596,388.0
6.596,388.0
6.984,388.0
6.984,388.0
6.966,387.0
6.984,388.0
6.966,387.0
6.596,388.0
-0.402,402.0
-1.209,403.0
-0.401,401.0
0.0,400.0
0.0,400.0
0.0,401.0
0.0,401.0
0.0,401.0
0.0,401.0
0.0,401.0
0.0,401.0
0.0,401.0
0.0,401.0
0.0,401.0
0.0,401.0
0.0,401.0
0.8,400.0
3.564,396.0
4.334,394.0
3.546,394.0
3.16,395.0
3.16,395.0
3.16,395.0
3.152,394.0
3.152,394.0
3.16,395.0
3.16,395.0
2.376,396.0
1.985,397.0
2.376,396.0
2.772,396.0
3.168,396.0
2.765,395.0
2.765,395.0
2.772,396.0
0.798,399.0
-0.804,402.0
-0.402,402.0
-0.0,402.0
0.0,401.0
0.401,401.0
2.779,397.0
3.168,396.0
3.555,395.0
3.94,394.0
3.555,395.0
3.94,394.0
3.94,394.0
4.323,393.0
4.323,393.0
4.312,392.0
4.704,392.0
4.704,392.0
4.704,392.0
5.096,392.0
5.083,391.0
5.474,391.0
5.46,390.0
5.46,390.0
5.835,389.0
5.835,389.0
5.835,389.0
6.224,389.0
5.835,389.0
6.224,389.0
6.613,389.0
6.596,388.0
6.596,388.0
6.596,388.0
6.596,388.0
6.966,387.0
7.353,387.0
7.353,387.0
7.353,387.0
6.224,389.0
5.46,390.0
5.835,389.0
6.224,389.0
6.966,387.0
7.372,388.0
6.596,388.0
7.353,387.0
7.72,386.0
8.106,386.0
8.106,386.0
8.47,385.0
8.106,386.0
8.47,385.0
8.085,385.0
8.47,385.0
8.448,384.0
8.448,384.0
8.832,384.0
9.192,383.0
9.192,383.0
9.192,383.0
9.192,383.0
9.192,383.0
9.192,383.0
9.575,383.0
9.55,382.0
9.932,382.0
9.55,382.0
9.932,382.0
9.906,381.0
9.906,381.0
9.932,382.0
10.287,381.0
10.287,381.0
10.26,380.0
10.64,380.0
10.64,380.0
10.64,380.0
11.02,380.0
11.02,380.0
11.37,379.0
11.02,380.0
10.991,379.0
11.34,378.0
11.37,379.0
11.37,379.0
11.37,379.0
11.718,378.0
11.718,378.0
11.718,378.0
11.718,378.0
12.064,377.0
12.441,377.0
12.064,377.0
11.718,378.0
2.358,393.0
-2.821,403.0
-1.2,400.0
0.0,398.0
0.0,398.0
0.0,398.0
0.0,398.0
0.0,398.0
0.0,398.0
0.0,398.0
0.0,398.0
0.0,399.0
0.0,399.0
0.0,399.0
0.0,399.0
0.0,399.0
0.0,399.0
0.0,399.0
0.0,399.0
0.0,399.0
0.0,399.0
0.0,399.0
0.0,399.0
0.0,399.0
0.0,400.0
0.0,400.0
0.0,400.0
0.0,399.0
0.0,400.0
0.0,399.0
0.0,399.0
0.0,399.0
0.0,400.0
0.0,400.0
0.0,400.0
0.0,400.0
0.0,400.0
0.0,400.0
0.0,400.0
0.0,400.0
0.0,400.0
0.0,400.0
0.0,400.0
0.0,400.0
0.0,400.0
0.0,400.0
0.0,400.0
0.0,400.0
0.0,400.0
0.0,400.0
0.0,400.0
0.0,400.0
0.0,400.0
0.0,400.0
0.0,400.0
0.0,400.0
0.0,400.0
0.0,400.0
0.0,400.0
0.0,400.0
0.0,400.0
0.0,400.0
0.0,400.0
0.0,401.0
0.0,401.0
0.0,401.0
0.0,401.0
0.0,400.0
0.0,401.0
0.0,400.0
0.0,400.0
0.0,401.0
0.0,401.0
0.0,401.0
0.0,401.0
0.0,401.0
0.0,400.0
0.0,401.0
0.0,401.0
0.0,401.0
0.0,401.0
0.0,401.0
0.0,401.0
0.0,401.0
0.0,401.0
0.0,401.0
0.0,401.0
0.0,401.0
0.0,401.0
0.0,401.0
0.0,401.0
0.0,401.0
0.0,401.0
0.0,401.0
0.0,401.0
0.0,401.0
0.0,401.0
0.0,401.0
0.0,401.0
0.0,401.0
0.0,401.0
0.0,401.0
0.0,401.0
0.0,401.0
0.0,401.0
0.0,401.0
0.0,401.0
0.0,401.0
0.0,401.0
0.0,401.0
0.0,401.0
0.0,401.0
0.0,402.0
0.0,401.0
0.0,401.0
0.0,402.0
0.0,401.0
0.0,402.0
0.0,402.0
0.0,402.0
0.0,401.0
0.0,402.0
0.0,402.0
0.0,402.0
0.0,401.0
0.0,402.0
0.0,401.0
0.0,402.0
0.0,402.0
0.0,402.0
0.0,401.0
0.0,402.0
0.0,402.0
0.0,402.0
0.0,402.0
0.0,402.0
0.0,402.0
0.0,402.0
0.0,402.0
0.0,402.0
0.0,402.0
0.0,402.0
0.0,402.0
0.0,402.0
0.0,402.0
0.0,402.0
0.0,402.0
0.0,402.0
0.0,402.0
0.0,402.0
0.0,402.0
0.0,402.0
0.0,402.0
0.0,402.0
0.0,402.0
0.0,402.0
0.0,402.0
0.0,402.0
0.0,402.0
0.0,402.0
0.0,402.0
0.0,402.0
0.0,402.0
0.0,402.0
0.0,402.0
0.0,402.0
0.0,402.0
0.0,402.0
0.0,402.0
0.0,402.0
0.0,402.0
0.0,402.0
0.0,402.0
0.0,402.0
0.0,402.0
0.0,402.0
0.0,402.0
0.0,402.0
0.0,402.0
-0.0,402.0
-0.0,402.0
-0.0,402.0
-0.402,402.0
-0.402,402.0
-0.402,402.0
-0.0,402.0
-0.0,401.0
-0.0,401.0
-0.0,401.0
-0.0,401.0
0.0,401.0
0.0,401.0
0.0,400.0
0.0,400.0
0.4,400.0
0.4,400.0
0.4,400.0
0.4,400.0
0.4,400.0
0.4,400.0
0.399,399.0
0.798,399.0
0.798,399.0
0.798,399.0
0.796,398.0
0.796,398.0
0.796,398.0
1.194,398.0
1.592,398.0
0.798,399.0
1.194,398.0
1.191,397.0
1.194,398.0
1.592,398.0
1.592,398.0
1.194,398.0
1.197,399.0
1.592,398.0
1.592,398.0
1.592,398.0
1.592,398.0
1.592,398.0
1.588,397.0
1.592,398.0
1.985,397.0
1.985,397.0
1.985,397.0
2.376,396.0
2.376,396.0
2.376,396.0
2.382,397.0
1.985,397.0
1.985,397.0
1.985,397.0
2.382,397.0
2.376,396.0
2.382,397.0
2.382,397.0
2.376,396.0
2.376,396.0
2.376,396.0
2.376,396.0
2.772,396.0
2.772,396.0
2.772,396.0
3.555,395.0
3.16,395.0
3.16,395.0
3.546,394.0
3.94,394.0
4.323,393.0
4.704,392.0
4.704,392.0
4.704,392.0
5.083,391.0
4.312,392.0
3.537,393.0
3.93,393.0
4.704,392.0
5.083,391.0
5.85,390.0
5.85,390.0
5.835,389.0
5.85,390.0
6.224,389.0
6.224,389.0
