kW,V,t1,t2,t3,t4,t5,t6
0.0,416.0,67.0,67.0,66.0,69.0,68.0,68.0
0.0,416.0,67.0,67.0,66.0,69.0,68.0,68.0
0.0,416.0,67.0,67.0,66.0,69.0,68.0,68.0
0.0,416.0,67.0,67.0,66.0,69.0,68.0,68.0
0.0,415.0,67.0,67.0,66.0,69.0,68.0,68.0
0.0,415.0,67.0,67.0,66.0,69.0,68.0,68.0
0.0,415.0,67.0,67.0,66.0,69.0,68.0,68.0
0.0,416.0,67.0,67.0,66.0,69.0,68.0,68.0
0.0,415.0,67.0,67.0,66.0,69.0,68.0,68.0
0.0,415.0,67.0,67.0,66.0,69.0,68.0,68.0
0.0,416.0,67.0,67.0,66.0,69.0,68.0,68.0
0.0,415.0,67.0,67.0,66.0,69.0,68.0,68.0
0.0,416.0,67.0,67.0,66.0,69.0,68.0,68.0
0.0,416.0,67.0,67.0,66.0,69.0,68.0,68.0
0.0,416.0,67.0,67.0,66.0,69.0,68.0,68.0
0.0,415.0,67.0,67.0,66.0,69.0,68.0,68.0
0.0,416.0,67.0,67.0,66.0,69.0,68.0,68.0
0.0,415.0,67.0,67.0,66.0,69.0,68.0,68.0
0.0,415.0,67.0,67.0,66.0,69.0,68.0,68.0
-0.415,415.0,67.0,67.0,66.0,69.0,68.0,68.0
-0.415,415.0,67.0,67.0,66.0,69.0,68.0,68.0
-0.415,415.0,67.0,67.0,66.0,69.0,68.0,68.0
-0.415,415.0,67.0,67.0,66.0,69.0,68.0,68.0
-0.415,415.0,67.0,67.0,66.0,69.0,68.0,68.0
0.0,415.0,67.0,67.0,66.0,69.0,68.0,68.0
0.0,415.0,67.0,67.0,66.0,69.0,68.0,68.0
0.0,415.0,67.0,67.0,66.0,68.0,68.0,68.0
0.0,415.0,67.0,67.0,66.0,68.0,68.0,68.0
0.0,415.0,67.0,67.0,66.0,68.0,68.0,68.0
0.0,415.0,67.0,67.0,66.0,68.0,68.0,68.0
0.0,415.0,67.0,67.0,66.0,68.0,68.0,68.0
0.0,414.0,67.0,67.0,66.0,68.0,68.0,68.0
0.414,414.0,67.0,67.0,66.0,68.0,68.0,68.0
0.413,413.0,67.0,67.0,66.0,68.0,68.0,68.0
0.413,413.0,67.0,67.0,66.0,68.0,68.0,68.0
0.413,413.0,67.0,67.0,66.0,68.0,68.0,68.0
0.413,413.0,67.0,67.0,66.0,68.0,68.0,68.0
0.412,412.0,67.0,67.0,66.0,68.0,68.0,68.0
0.824,412.0,67.0,67.0,66.0,68.0,68.0,68.0
0.824,412.0,67.0,67.0,66.0,68.0,68.0,68.0
0.824,412.0,67.0,67.0,66.0,68.0,68.0,68.0
1.233,411.0,67.0,67.0,66.0,68.0,68.0,68.0
1.236,412.0,67.0,67.0,66.0,68.0,68.0,68.0
1.64,410.0,67.0,67.0,67.0,68.0,68.0,68.0
1.64,410.0,67.0,67.0,67.0,68.0,68.0,68.0
1.64,410.0,67.0,67.0,67.0,68.0,68.0,68.0
1.64,410.0,67.0,67.0,67.0,68.0,68.0,68.0
2.05,410.0,67.0,67.0,67.0,68.0,68.0,68.0
2.05,410.0,67.0,67.0,67.0,68.0,68.0,68.0
2.454,409.0,67.0,67.0,67.0,68.0,68.0,68.0
2.454,409.0,67.0,67.0,67.0,68.0,68.0,68.0
2.454,409.0,67.0,67.0,67.0,68.0,68.0,68.0
2.863,409.0,67.0,67.0,67.0,68.0,68.0,68.0
2.856,408.0,67.0,67.0,67.0,68.0,68.0,68.0
3.264,408.0,67.0,67.0,67.0,68.0,68.0,68.0
3.264,408.0,67.0,67.0,67.0,68.0,68.0,68.0
3.256,407.0,67.0,67.0,67.0,68.0,68.0,68.0
3.256,407.0,67.0,67.0,67.0,68.0,68.0,68.0
3.663,407.0,67.0,67.0,67.0,68.0,68.0,68.0
3.654,406.0,67.0,67.0,67.0,68.0,68.0,68.0
4.06,406.0,67.0,67.0,67.0,68.0,68.0,68.0
4.06,406.0,67.0,67.0,67.0,68.0,68.0,68.0
4.05,405.0,67.0,67.0,67.0,68.0,68.0,68.0
4.455,405.0,67.0,67.0,67.0,68.0,68.0,68.0
4.455,405.0,67.0,67.0,67.0,68.0,68.0,68.0
2.454,409.0,67.0,67.0,67.0,68.0,68.0,68.0
-0.834,417.0,67.0,67.0,67.0,69.0,68.0,68.0
-0.415,415.0,67.0,67.0,67.0,69.0,68.0,68.0
0.0,414.0,67.0,67.0,67.0,69.0,68.0,68.0
0.0,414.0,67.0,67.0,67.0,69.0,68.0,68.0
0.0,415.0,67.0,67.0,67.0,69.0,68.0,68.0
0.0,415.0,67.0,67.0,67.0,69.0,68.0,68.0
0.414,414.0,67.0,67.0,67.0,69.0,68.0,68.0
5.278,406.0,67.0,67.0,67.0,69.0,68.0,68.0
6.06,404.0,67.0,67.0,66.0,69.0,68.0,68.0
4.86,405.0,67.0,67.0,66.0,69.0,68.0,68.0
4.466,406.0,67.0,67.0,66.0,69.0,68.0,68.0
4.466,406.0,67.0,67.0,66.0,69.0,68.0,68.0
4.455,405.0,67.0,67.0,66.0,69.0,68.0,68.0
4.06,406.0,67.0,67.0,66.0,69.0,68.0,68.0
-0.416,416.0,67.0,67.0,66.0,69.0,68.0,68.0
-0.83,415.0,67.0,67.0,66.0,69.0,68.0,68.0
0.0,414.0,67.0,67.0,66.0,69.0,68.0,68.0
0.0,414.0,67.0,67.0,66.0,69.0,68.0,68.0
0.0,414.0,68.0,67.0,66.0,69.0,68.0,68.0
0.0,414.0,68.0,67.0,66.0,69.0,68.0,68.0
0.0,414.0,68.0,67.0,66.0,69.0,68.0,68.0
0.0,415.0,68.0,67.0,66.0,69.0,68.0,68.0
3.681,409.0,68.0,67.0,66.0,69.0,68.0,68.0
6.851,403.0,68.0,67.0,66.0,69.0,68.0,68.0
6.045,403.0,68.0,67.0,66.0,69.0,68.0,68.0
4.455,405.0,68.0,67.0,66.0,69.0,68.0,68.0
0.0,416.0,68.0,67.0,66.0,69.0,68.0,68.0
-0.832,416.0,68.0,67.0,66.0,69.0,68.0,68.0
-0.415,415.0,68.0,67.0,66.0,69.0,68.0,68.0
0.0,414.0,68.0,67.0,66.0,69.0,68.0,68.0
0.0,414.0,68.0,67.0,66.0,69.0,68.0,68.0
0.0,414.0,68.0,67.0,66.0,69.0,69.0,68.0
0.0,414.0,68.0,67.0,66.0,69.0,69.0,68.0
0.0,414.0,68.0,67.0,66.0,69.0,69.0,68.0
0.0,414.0,68.0,67.0,66.0,69.0,69.0,68.0
0.0,414.0,68.0,67.0,66.0,69.0,69.0,68.0
0.0,414.0,68.0,67.0,66.0,69.0,69.0,68.0
0.0,415.0,68.0,67.0,66.0,69.0,69.0,68.0
0.0,415.0,68.0,67.0,66.0,69.0,69.0,68.0
0.0,414.0,68.0,67.0,66.0,69.0,69.0,68.0
0.0,414.0,68.0,67.0,66.0,69.0,69.0,68.0
0.0,414.0,68.0,67.0,66.0,69.0,69.0,68.0
0.0,414.0,68.0,67.0,66.0,69.0,69.0,68.0
0.0,415.0,68.0,67.0,66.0,69.0,69.0,68.0
3.681,409.0,68.0,67.0,66.0,69.0,69.0,68.0
5.278,406.0,68.0,67.0,66.0,69.0,69.0,68.0
