kW,V
3.288,411.0
3.288,411.0
2.877,411.0
2.87,410.0
2.877,411.0
2.065,413.0
0.828,414.0
1.245,415.0
1.656,414.0
1.656,414.0
1.656,414.0
2.884,412.0
3.28,410.0
3.69,410.0
5.304,408.0
5.684,406.0
5.684,406.0
5.278,406.0
5.278,406.0
5.278,406.0
5.698,407.0
5.67,405.0
5.67,405.0
5.684,406.0
5.67,405.0
4.872,406.0
4.08,408.0
4.08,408.0
4.08,408.0
4.884,407.0
4.477,407.0
4.896,408.0
4.884,407.0
4.896,408.0
4.08,408.0
4.488,408.0
4.884,407.0
4.884,407.0
4.884,407.0
4.08,408.0
3.28,410.0
4.08,408.0
4.09,409.0
4.08,408.0
3.681,409.0
3.681,409.0
3.681,409.0
3.681,409.0
3.28,410.0
2.466,411.0
2.466,411.0
2.87,410.0
3.28,410.0
3.69,410.0
3.69,410.0
3.69,410.0
3.681,409.0
4.09,409.0
3.681,409.0
4.09,409.0
4.09,409.0
3.69,410.0
3.681,409.0
3.69,410.0
4.09,409.0
4.08,408.0
4.488,408.0
5.291,407.0
4.884,407.0
5.291,407.0
4.884,407.0
5.278,406.0
5.278,406.0
5.291,407.0
5.278,406.0
5.278,406.0
5.278,406.0
5.278,406.0
5.278,406.0
5.278,406.0
5.278,406.0
4.884,407.0
4.884,407.0
4.488,408.0
4.488,408.0
4.08,408.0
3.681,409.0
-0.834,417.0
-0.836,418.0
-0.416,416.0
0.0,416.0
0.0,416.0
0.0,416.0
0.0,416.0
0.0,416.0
-0.0,416.0
0.0,416.0
0.0,416.0
0.0,416.0
0.0,416.0
0.0,416.0
0.0,416.0
0.0,416.0
0.0,416.0
0.0,416.0
0.0,416.0
0.0,416.0
0.0,416.0
0.416,416.0
0.0,416.0
0.416,416.0
0.416,416.0
0.83,415.0
0.416,416.0
0.0,416.0
0.0,417.0
0.0,416.0
0.416,416.0
1.242,414.0
1.652,413.0
1.652,413.0
1.242,414.0
1.656,414.0
2.06,412.0
2.06,412.0
1.648,412.0
1.652,413.0
1.648,412.0
2.06,412.0
2.06,412.0
2.472,412.0
2.472,412.0
2.472,412.0
2.466,411.0
2.466,411.0
2.466,411.0
2.466,411.0
1.652,413.0
1.652,413.0
1.652,413.0
2.06,412.0
2.472,412.0
2.472,412.0
2.472,412.0
2.466,411.0
2.877,411.0
2.877,411.0
2.87,410.0
3.28,410.0
3.28,410.0
3.28,410.0
3.28,410.0
3.272,409.0
3.272,409.0
3.681,409.0
3.681,409.0
3.681,409.0
4.09,409.0
3.681,409.0
3.681,409.0
3.681,409.0
3.681,409.0
2.87,410.0
3.28,410.0
3.272,409.0
2.87,410.0
2.466,411.0
2.06,412.0
2.466,411.0
2.466,411.0
2.466,411.0
2.466,411.0
2.466,411.0
2.472,412.0
1.652,413.0
1.648,412.0
0.828,414.0
-0.417,417.0
-0.417,417.0
0.0,416.0
2.07,414.0
4.908,409.0
3.69,410.0
3.681,409.0
4.08,408.0
3.681,409.0
3.681,409.0
3.681,409.0
3.681,409.0
4.08,408.0
4.08,408.0
4.08,408.0
4.08,408.0
4.08,408.0
4.08,408.0
4.08,408.0
4.477,407.0
4.477,407.0
4.08,408.0
3.672,408.0
2.055,411.0
-0.834,417.0
-0.834,417.0
-0.0,416.0
0.0,416.0
0.0,416.0
0.415,415.0
2.065,413.0
2.472,412.0
1.652,413.0
1.239,413.0
2.466,411.0
2.877,411.0
4.09,409.0
4.08,408.0
4.08,408.0
5.67,405.0
5.278,406.0
5.67,405.0
5.67,405.0
5.67,405.0
5.265,405.0
5.265,405.0
5.252,404.0
5.265,405.0
5.656,404.0
