name,series,parallel
66,110,3
84S-1P,84.0,1.0
78S-1P,78.0,1.0
72S-1P,72.0,1.0
130S-3P,130.0,3.0
100S-5P,100.0,5.0
150S-2P,150.0,2.0
100S-1P,100.0,1.0
140S-1P,140.0,1.0
