kW,t1,t2,V
7.03,80.0,82.0,370
6.66,80.0,82.0,370
0.0,80.0,82.0,383
6.66,80.0,82.0,370
8.096,80.0,82.0,368
8.784,80.0,82.0,366
0.0,80.0,82.0,381
9.15,80.0,82.0,366
10.192,80.0,82.0,364
0.0,80.0,82.0,381
0.0,78.0,82.0,382
1.155,78.0,82.0,385
6.714,78.0,82.0,373
5.222,80.0,82.0,373
7.03,80.0,82.0,370
0.382,80.0,82.0,382
0.382,80.0,82.0,382
6.307,80.0,82.0,371
6.66,80.0,82.0,370
8.074,80.0,82.0,367
0.0,80.0,82.0,382
1.1400000000000001,80.0,82.0,380
4.862,80.0,82.0,374
5.952,80.0,82.0,372
6.324,80.0,82.0,372
5.58,80.0,82.0,372
5.936,80.0,82.0,371
5.936,80.0,82.0,371
7.011,80.0,82.0,369
8.096,80.0,82.0,368
9.125,80.0,82.0,365
9.828,80.0,82.0,364
0.0,80.0,84.0,382
3.384,80.0,84.0,376
5.208,80.0,84.0,372
0.382,80.0,84.0,382
6.29,80.0,84.0,370
7.36,82.0,84.0,368
8.418000000000001,82.0,84.0,366
9.125,82.0,84.0,365
0.0,80.0,84.0,381
8.418000000000001,80.0,84.0,366
9.464,80.0,84.0,364
0.381,82.0,84.0,381
7.707,82.0,84.0,367
0.0,82.0,84.0,381
0.379,82.0,84.0,379
7.011,82.0,84.0,369
1.92,82.0,84.0,384
0.0,82.0,84.0,381
5.222,82.0,84.0,373
5.92,82.0,84.0,370
7.011,78.0,84.0,369
1.92,78.0,84.0,384
0.0,78.0,84.0,381
0.0,80.0,84.0,382
5.936,80.0,84.0,371
0.0,80.0,84.0,381
4.836,82.0,84.0,372
0.0,82.0,84.0,382
5.208,82.0,84.0,372
6.66,82.0,84.0,370
7.36,82.0,82.0,368
8.784,82.0,82.0,366
9.464,82.0,82.0,364
1.915,82.0,84.0,383
0.0,82.0,84.0,381
5.565,82.0,84.0,371
4.849,82.0,84.0,373
0.0,82.0,84.0,380
5.58,82.0,84.0,372
5.92,82.0,84.0,370
6.992,82.0,84.0,368
8.052,82.0,84.0,366
8.76,82.0,84.0,365
8.76,82.0,84.0,365
9.828,82.0,84.0,364
10.498,82.0,84.0,362
1.508,82.0,84.0,377
6.642,82.0,84.0,369
0.0,82.0,84.0,380
0.0,82.0,84.0,381
5.92,82.0,84.0,370
1.131,82.0,84.0,377
0.0,82.0,84.0,381
0.764,82.0,84.0,382
5.92,82.0,84.0,370
6.992,82.0,84.0,368
3.357,82.0,84.0,373
0.38,82.0,84.0,380
0.76,82.0,84.0,380
5.208,82.0,84.0,372
0.0,82.0,84.0,381
4.114,82.0,84.0,374
0.0,82.0,84.0,381
5.92,82.0,86.0,370
7.728,82.0,86.0,368
8.074,82.0,86.0,367
8.76,82.0,86.0,365
10.136000000000001,82.0,86.0,362
0.0,82.0,86.0,380
0.0,82.0,82.0,380
1.8900000000000001,82.0,82.0,378
4.103,82.0,82.0,373
0.0,82.0,86.0,381
5.55,82.0,86.0,370
6.992,82.0,86.0,368
8.052,82.0,84.0,366
6.324,82.0,84.0,372
12.012,82.0,84.0,364
8.418000000000001,82.0,86.0,366
9.464,82.0,86.0,364
10.469,82.0,86.0,361
0.0,82.0,86.0,380
6.992,82.0,86.0,368
1.137,84.0,86.0,379
6.273,84.0,86.0,369
6.992,84.0,86.0,368
0.0,82.0,86.0,380
7.36,82.0,86.0,368
5.55,82.0,86.0,370
6.606,82.0,86.0,367
7.686,82.0,86.0,366
0.0,82.0,86.0,379
0.0,82.0,86.0,380
5.55,82.0,86.0,370
0.762,82.0,86.0,381
3.74,82.0,86.0,374
2.632,82.0,86.0,376
6.273,82.0,86.0,369
7.34,84.0,86.0,367
8.395,84.0,86.0,365
9.438,84.0,86.0,363
10.108,84.0,86.0,361
0.0,84.0,86.0,379
0.0,84.0,86.0,379
5.55,84.0,86.0,370
0.754,84.0,86.0,377
4.476,84.0,86.0,373
5.535,82.0,86.0,369
6.606,82.0,86.0,367
7.686,82.0,86.0,366
8.372,84.0,86.0,364
8.372,84.0,86.0,364
1.52,84.0,86.0,380
