kW,t1,t2
7.391,68.0,69.0
8.148,68.0,69.0
8.901,68.0,69.0
7.8,68.0,69.0
9.24,68.0,69.0
10.341000000000001,68.0,69.0
3.95,68.0,69.0
5.865,68.0,69.0
8.947000000000001,68.0,69.0
1.215,68.0,69.0
5.502,68.0,69.0
6.63,68.0,69.0
0.806,68.0,69.0
1.6,68.0,69.0
6.24,66.0,69.0
6.984,66.0,69.0
8.127,66.0,69.0
0.0,66.0,69.0
7.429,66.0,69.0
6.256,66.0,69.0
0.0,69.0,69.0
1.596,69.0,69.0
0.404,69.0,69.0
4.716,68.0,69.0
5.474,68.0,69.0
6.613,68.0,69.0
7.74,69.0,69.0
8.878,69.0,69.0
9.958,69.0,69.0
0.8,69.0,69.0
7.76,69.0,69.0
5.8500000000000005,69.0,69.0
5.474,68.0,69.0
7.391,68.0,71.0
6.596,68.0,71.0
8.106,68.0,71.0
9.216000000000001,68.0,71.0
4.312,68.0,71.0
7.353,69.0,71.0
8.832,69.0,69.0
9.55,69.0,69.0
9.6,69.0,69.0
0.0,69.0,71.0
0.401,69.0,71.0
0.401,68.0,71.0
5.865,68.0,68.0
5.835,68.0,68.0
0.0,69.0,68.0
1.592,69.0,69.0
5.474,69.0,69.0
6.613,69.0,69.0
7.353,69.0,71.0
1.209,69.0,71.0
4.323,69.0,71.0
5.8500000000000005,69.0,71.0
5.8500000000000005,69.0,71.0
7.76,69.0,71.0
4.312,69.0,69.0
6.208,69.0,69.0
6.596,69.0,69.0
8.47,69.0,71.0
9.192,69.0,71.0
10.668000000000001,69.0,71.0
1.194,69.0,71.0
3.537,69.0,71.0
5.82,69.0,71.0
6.948,69.0,71.0
6.966,69.0,69.0
1.206,69.0,69.0
7.72,69.0,69.0
8.064,69.0,68.0
8.809000000000001,69.0,68.0
9.168000000000001,69.0,68.0
9.906,69.0,71.0
10.612,69.0,71.0
6.579,69.0,71.0
2.758,69.0,71.0
4.68,69.0,71.0
0.0,69.0,71.0
5.46,69.0,71.0
6.192,69.0,71.0
1.588,69.0,71.0
6.596,69.0,69.0
5.82,69.0,69.0
6.93,69.0,69.0
8.064,69.0,71.0
0.0,69.0,71.0
1.191,69.0,71.0
5.057,69.0,71.0
6.192,69.0,71.0
5.82,69.0,71.0
6.948,69.0,71.0
7.68,69.0,71.0
8.448,69.0,71.0
9.144,69.0,71.0
10.26,69.0,71.0
0.0,69.0,71.0
0.0,69.0,71.0
3.528,69.0,71.0
4.68,69.0,71.0
0.0,69.0,71.0
1.191,69.0,71.0
6.579,69.0,71.0
7.7,69.0,71.0
8.426,69.0,71.0
3.91,69.0,71.0
8.426,69.0,71.0
9.525,69.0,71.0
10.612,69.0,71.0
7.315,69.0,71.0
0.0,69.0,71.0
3.92,69.0,71.0
0.0,69.0,71.0
5.057,69.0,71.0
6.192,69.0,71.0
0.0,69.0,71.0
5.446,69.0,71.0
5.805,69.0,71.0
6.948,69.0,69.0
8.043000000000001,69.0,69.0
0.0,69.0,69.0
0.398,69.0,71.0
0.0,71.0,71.0
5.432,71.0,71.0
5.446,71.0,71.0
2.364,69.0,71.0
0.802,69.0,71.0
6.948,69.0,71.0
7.68,71.0,71.0
8.786,71.0,71.0
9.88,71.0,71.0
0.0,69.0,71.0
0.0,69.0,71.0
3.136,69.0,73.0
6.93,71.0,73.0
0.0,71.0,73.0
5.82,71.0,73.0
6.176,71.0,73.0
7.68,71.0,73.0
8.404,71.0,73.0
2.364,69.0,73.0
7.296,69.0,73.0
8.426,69.0,71.0
9.144,71.0,71.0
2.0,71.0,71.0
0.798,71.0,73.0
2.358,69.0,73.0
1.576,69.0,73.0
0.0,69.0,73.0
5.432,73.0,73.0
0.8,73.0,73.0
0.0,73.0,71.0
0.792,71.0,71.0
5.057,71.0,71.0
5.82,71.0,71.0
7.296,71.0,71.0
0.397,71.0,71.0
0.0,71.0,73.0
4.279,71.0,73.0
5.432,71.0,73.0
0.0,71.0,73.0
1.584,71.0,73.0
1.584,71.0,73.0
1.584,71.0,73.0
4.68,71.0,73.0
2.358,71.0,73.0
6.192,71.0,73.0
7.315,71.0,73.0
8.404,71.0,73.0
9.5,71.0,73.0
0.0,71.0,73.0
5.446,71.0,73.0
6.545,71.0,73.0
6.176,71.0,73.0
0.398,71.0,73.0
3.136,71.0,73.0
7.66,71.0,73.0
8.404,71.0,73.0
6.5280000000000005,71.0,69.0
9.854000000000001,71.0,69.0
9.475,71.0,69.0
10.933,71.0,73.0
0.0,71.0,73.0
5.018,71.0,73.0
4.268,71.0,73.0
0.0,71.0,73.0
5.418,71.0,73.0
6.144,71.0,73.0
2.737,71.0,73.0
5.79,71.0,73.0
6.144,71.0,73.0
7.258,71.0,73.0
8.382,71.0,73.0
2.352,71.0,73.0
0.79,71.0,73.0
4.268,71.0,73.0
5.39,71.0,71.0
5.39,71.0,71.0
6.5280000000000005,71.0,71.0
7.239,71.0,73.0
6.144,73.0,73.0
8.36,73.0,73.0
9.450000000000001,73.0,73.0
10.528,71.0,73.0
0.396,71.0,73.0
1.96,71.0,73.0
2.73,71.0,73.0
4.257,71.0,73.0
0.0,71.0,73.0
3.89,71.0,73.0
5.432,71.0,73.0
5.775,71.0,73.0
6.16,71.0,73.0
6.144,71.0,73.0
1.572,71.0,73.0
8.022,71.0,73.0
9.072000000000001,71.0,73.0
10.179,71.0,73.0
4.656,71.0,73.0
2.737,71.0,73.0
3.88,71.0,73.0
0.0,71.0,73.0
5.418,71.0,73.0
0.0,71.0,75.0
0.0,71.0,75.0
0.0,69.0,75.0
1.965,69.0,73.0
5.031,69.0,73.0
5.775,71.0,73.0
6.912,71.0,73.0
0.0,71.0,73.0
0.0,71.0,73.0
3.136,71.0,73.0
4.268,71.0,73.0
0.399,71.0,73.0
5.031,71.0,75.0
0.0,71.0,75.0
1.576,73.0,75.0
2.352,73.0,73.0
5.031,73.0,73.0
5.418,71.0,73.0
5.79,71.0,73.0
4.279,71.0,73.0
1.194,71.0,73.0
0.0,71.0,75.0
0.396,71.0,75.0
1.182,71.0,75.0
3.12,71.0,75.0
0.0,71.0,75.0
3.89,71.0,75.0
5.418,71.0,75.0
6.5280000000000005,71.0,75.0
7.277,71.0,75.0
7.640000000000001,71.0,75.0
8.001,71.0,75.0
9.072000000000001,71.0,75.0
10.179,71.0,73.0
8.338000000000001,71.0,73.0
0.394,71.0,73.0
3.12,71.0,75.0
2.73,71.0,75.0
0.394,71.0,75.0
4.632,71.0,73.0
5.76,71.0,73.0
0.0,71.0,73.0
1.568,71.0,73.0
4.632,71.0,73.0
5.76,73.0,73.0
6.876,73.0,75.0
3.483,73.0,75.0
1.96,73.0,75.0
1.572,73.0,75.0
0.0,73.0,75.0
4.632,71.0,75.0
0.0,71.0,75.0
0.788,71.0,75.0
0.0,73.0,75.0
5.018,73.0,73.0
6.128,73.0,73.0
7.239,73.0,73.0
8.36,73.0,75.0
9.450000000000001,73.0,75.0
0.0,73.0,75.0
0.0,73.0,75.0
4.644,73.0,75.0
3.88,73.0,75.0
0.0,73.0,71.0
2.737,73.0,71.0
5.76,73.0,71.0
7.239,73.0,75.0
0.0,73.0,75.0
0.0,73.0,75.0
0.0,73.0,75.0
0.0,73.0,75.0
0.0,73.0,75.0
0.0,73.0,75.0
0.0,73.0,75.0
0.0,73.0,76.0
0.0,73.0,76.0
0.395,73.0,76.0
0.396,73.0,76.0
0.0,73.0,75.0
0.792,73.0,75.0
0.396,73.0,75.0
0.395,73.0,75.0
0.0,73.0,75.0
0.0,73.0,75.0
0.0,73.0,75.0
0.0,73.0,75.0
0.0,75.0,75.0
0.0,75.0,75.0
0.0,75.0,75.0
0.0,75.0,76.0
0.0,75.0,76.0
0.0,75.0,76.0
0.0,73.0,76.0
0.0,73.0,75.0
0.0,73.0,75.0
0.0,73.0,75.0
0.0,73.0,75.0
0.0,73.0,75.0
0.0,73.0,75.0
0.0,73.0,75.0
0.0,73.0,75.0
0.0,73.0,75.0
0.0,73.0,75.0
0.0,73.0,75.0
0.0,73.0,75.0
0.0,73.0,75.0
0.0,73.0,75.0
0.0,73.0,75.0
0.0,73.0,75.0
0.0,73.0,75.0
0.0,73.0,75.0
0.0,73.0,75.0
0.0,73.0,75.0
0.0,73.0,75.0
0.0,73.0,75.0
0.0,73.0,75.0
0.0,73.0,75.0
0.0,73.0,75.0
0.0,73.0,75.0
0.0,73.0,75.0
0.0,73.0,75.0
0.0,73.0,75.0
0.0,73.0,75.0
0.0,73.0,75.0
0.0,73.0,75.0
0.0,73.0,75.0
0.0,73.0,75.0
0.0,73.0,75.0
0.0,73.0,75.0
0.0,73.0,75.0
0.0,73.0,75.0
0.0,73.0,75.0
0.0,73.0,75.0
0.0,73.0,75.0
0.0,73.0,75.0
0.0,73.0,75.0
0.0,73.0,75.0
0.0,73.0,75.0
0.0,73.0,75.0
0.0,73.0,75.0
0.0,73.0,75.0
0.0,73.0,75.0
0.0,73.0,75.0
0.0,73.0,75.0
0.0,73.0,75.0
0.0,76.0,75.0
0.0,76.0,75.0
0.0,76.0,75.0
0.0,76.0,75.0
0.0,73.0,75.0
0.0,73.0,75.0
0.0,73.0,75.0
0.0,73.0,75.0
0.0,73.0,75.0
0.0,73.0,75.0
0.0,73.0,75.0
0.0,73.0,75.0
0.0,73.0,75.0
0.0,73.0,75.0
0.0,73.0,75.0
0.0,73.0,75.0
0.0,71.0,75.0
0.0,71.0,76.0
1.191,71.0,76.0
2.364,71.0,76.0
3.92,71.0,75.0
0.804,71.0,75.0
0.4,71.0,75.0
0.397,71.0,73.0
4.301,71.0,73.0
5.432,73.0,73.0
6.579,73.0,75.0
0.0,73.0,75.0
6.613,73.0,75.0
5.057,73.0,75.0
6.562,73.0,75.0
7.315,73.0,75.0
0.0,73.0,75.0
1.975,73.0,75.0
3.9,73.0,75.0
4.668,73.0,75.0
6.562,73.0,75.0
5.79,73.0,75.0
6.545,73.0,75.0
7.66,73.0,75.0
8.74,73.0,75.0
9.475,73.0,75.0
10.556000000000001,73.0,75.0
1.191,73.0,75.0
0.788,73.0,75.0
7.277,73.0,75.0
