kW,V,I,t
0.0,0.3,0.0,0.0
0.0,0.3,0.0,1.0
0.0,0.3,0.0,2.0
0.0,0.3,0.0,3.0
0.0,0.4,0.0,4.0
0.0,0.3,0.0,5.0
0.0,0.3,0.0,6.0
0.0,0.4,0.0,7.0
0.0,324.8,0.0,8.0
0.0,387.8,0.0,9.0
0.0,387.8,0.0,10.0
0.0,387.8,0.0,11.0
0.0,387.7,0.0,12.0
0.0,387.8,0.0,13.0
0.0,387.8,0.0,14.0
0.0,387.8,0.0,15.0
0.0,387.7,0.0,16.0
0.0,387.8,0.0,17.0
0.0,387.7,0.0,18.0
0.0,387.7,0.0,19.0
0.0,387.7,0.0,20.0
0.0,387.7,0.0,21.0
0.0,387.7,0.0,22.0
0.0,387.7,0.0,23.0
0.0,387.7,0.0,24.0
0.0,387.8,0.0,25.0
0.0,387.8,0.0,26.0
0.0,387.8,0.0,27.0
0.0,387.7,0.0,28.0
0.0,387.7,0.0,29.0
0.0,387.7,0.0,30.0
0.0,387.7,0.0,31.0
0.0,387.7,0.0,32.0
0.0,387.7,0.0,33.0
0.0,387.7,0.0,34.0
0.0,387.7,0.0,35.0
0.0,387.7,0.0,36.0
0.0,387.7,0.0,37.0
0.0,387.4,0.0,38.0
0.0,387.6,0.0,39.0
0.0,387.4,0.0,40.0
0.0,387.6,0.0,41.0
0.0,387.8,0.0,42.0
0.0,387.2,0.0,43.0
0.0,387.7,0.0,44.0
0.38430000000000003,384.3,1.0,45.0
2.2883999999999998,381.4,6.0,46.0
2.2866000000000004,381.1,6.0,47.0
3.4128,379.2,9.0,48.0
3.786,378.6,10.0,49.0
3.4092000000000002,378.8,9.0,50.0
1.9115,382.3,5.0,51.0
3.0391999999999997,379.9,8.0,52.0
2.2806,380.1,6.0,53.0
2.2848,380.8,6.0,54.0
3.0328000000000004,379.1,8.0,55.0
2.6586,379.8,7.0,56.0
2.6579,379.7,7.0,57.0
3.4038,378.2,9.0,58.0
2.2818,380.3,6.0,59.0
2.2823999999999995,380.4,6.0,60.0
1.526,381.5,4.0,61.0
3.779,377.9,10.0,62.0
6.330799999999999,372.4,17.0,63.0
4.8607,373.9,13.0,64.0
0.7644,382.2,2.0,65.0
3.758,375.8,10.0,66.0
3.3876,376.4,9.0,67.0
3.763,376.3,10.0,68.0
3.384,376.0,9.0,69.0
4.1272,375.2,11.0,70.0
4.1272,375.2,11.0,71.0
5.586,372.4,15.0,72.0
4.4807999999999995,373.4,12.0,73.0
4.1107,373.7,11.0,74.0
0.0,382.4,0.0,75.0
0.0,382.9,0.0,76.0
0.0,382.8,0.0,77.0
0.0,383.1,0.0,78.0
0.0,383.4,0.0,79.0
0.0,383.4,0.0,80.0
0.0,383.8,0.0,81.0
0.0,383.6,0.0,82.0
0.0,383.7,0.0,83.0
0.0,384.0,0.0,84.0
0.0,384.0,0.0,85.0
0.0,352.9,0.0,86.0
0.0,47.8,0.0,87.0
0.0,16.7,0.0,88.0
0.0,5.9,0.0,89.0
0.0,2.2,0.0,90.0
0.0,1.0,0.0,91.0
0.0,0.5,0.0,92.0
0.0,0.4,0.0,93.0
0.0,0.3,0.0,94.0
0.0,0.3,0.0,95.0
0.0,0.3,0.0,96.0
0.0,0.4,0.0,97.0
0.0,0.4,0.0,98.0
0.0,0.4,0.0,99.0
0.0,0.3,0.0,100.0
0.0,0.4,0.0,101.0
0.0,0.3,0.0,102.0
0.0,0.4,0.0,103.0
0.0,0.3,0.0,104.0
0.0,0.4,0.0,105.0
0.0,0.4,0.0,106.0
0.0,0.3,0.0,107.0
0.0,0.4,0.0,108.0
0.0,0.3,0.0,109.0
0.0,0.3,0.0,110.0
0.0,0.4,0.0,111.0
0.0,0.3,0.0,112.0
0.0,0.3,0.0,113.0
0.0,0.3,0.0,114.0
0.0,0.3,0.0,115.0
0.0,0.4,0.0,116.0
0.0,0.4,0.0,117.0
0.0,0.3,0.0,118.0
0.0,0.4,0.0,119.0
0.0,0.3,0.0,120.0
0.0,0.3,0.0,121.0
0.0,0.3,0.0,122.0
0.0,0.4,0.0,123.0
0.0,0.4,0.0,124.0
0.0,0.3,0.0,125.0
0.0,0.3,0.0,126.0
0.0,0.3,0.0,127.0
0.0,0.4,0.0,128.0
0.0,0.3,0.0,129.0
0.0,0.4,0.0,130.0
0.0,0.3,0.0,131.0
0.0,0.3,0.0,132.0
0.0,0.4,0.0,133.0
0.0,0.4,0.0,134.0
0.0,0.3,0.0,135.0
0.0,0.3,0.0,136.0
0.0,0.3,0.0,137.0
0.0,0.3,0.0,138.0
0.0,0.3,0.0,139.0
0.0,0.3,0.0,140.0
0.0,0.4,0.0,141.0
0.0,0.3,0.0,142.0
0.0,0.3,0.0,143.0
0.0,0.4,0.0,144.0
0.0,0.4,0.0,145.0
0.0,0.3,0.0,146.0
0.0,0.4,0.0,147.0
0.0,0.4,0.0,148.0
0.0,0.3,0.0,149.0
0.0,0.3,0.0,150.0
0.0,0.3,0.0,151.0
0.0,0.4,0.0,152.0
0.0,0.3,0.0,153.0
0.0,0.3,0.0,154.0
0.0,0.3,0.0,155.0
0.0,0.3,0.0,156.0
0.0,0.3,0.0,157.0
0.0,0.4,0.0,158.0
0.0,0.3,0.0,159.0
0.0,0.3,0.0,160.0
0.0,0.4,0.0,161.0
0.0,0.3,0.0,162.0
0.0,0.3,0.0,163.0
0.0,0.4,0.0,164.0
0.0,0.4,0.0,165.0
0.0,0.4,0.0,166.0
0.0,0.3,0.0,167.0
0.0,0.3,0.0,168.0
0.0,0.3,0.0,169.0
0.0,0.3,0.0,170.0
0.0,0.4,0.0,171.0
0.0,0.3,0.0,172.0
0.0,0.3,0.0,173.0
0.0,0.3,0.0,174.0
0.0,0.4,0.0,175.0
0.0,0.3,0.0,176.0
0.0,0.3,0.0,177.0
0.0,0.3,0.0,178.0
0.0,0.3,0.0,179.0
0.0,0.3,0.0,180.0
0.0,0.4,0.0,181.0
