kW,V,I,t
0.0,0.3,0.0,0.0
0.0,0.4,0.0,1.0
0.0,0.3,0.0,2.0
0.0,0.3,0.0,3.0
0.0,0.4,0.0,4.0
0.0,0.3,0.0,5.0
0.0,0.4,0.0,6.0
0.0,0.4,0.0,7.0
0.0,0.3,0.0,8.0
0.0,0.4,0.0,9.0
0.0,0.4,0.0,10.0
0.0,0.3,0.0,11.0
0.0,0.3,0.0,12.0
0.0,0.3,0.0,13.0
0.0,0.3,0.0,14.0
0.0,0.3,0.0,15.0
0.0,0.3,0.0,16.0
0.0,0.4,0.0,17.0
0.0,0.4,0.0,18.0
0.0,0.4,0.0,19.0
0.0,0.3,0.0,20.0
0.0,0.4,0.0,21.0
0.0,0.3,0.0,22.0
0.0,0.3,0.0,23.0
0.0,0.3,0.0,24.0
0.0,0.3,0.0,25.0
0.0,0.4,0.0,26.0
0.0,0.3,0.0,27.0
0.0,0.4,0.0,28.0
0.0,245.9,0.0,29.0
0.0,369.2,0.0,30.0
0.0,369.3,0.0,31.0
0.0,369.3,0.0,32.0
0.0,369.2,0.0,33.0
0.0,369.3,0.0,34.0
0.0,369.3,0.0,35.0
0.0,369.3,0.0,36.0
0.0,369.3,0.0,37.0
0.0,369.3,0.0,38.0
0.0,369.3,0.0,39.0
0.0,369.3,0.0,40.0
0.0,369.4,0.0,41.0
0.0,369.3,0.0,42.0
0.0,369.3,0.0,43.0
0.0,369.4,0.0,44.0
0.0,369.4,0.0,45.0
0.0,369.4,0.0,46.0
0.0,369.4,0.0,47.0
0.0,369.4,0.0,48.0
0.0,369.5,0.0,49.0
0.0,369.4,0.0,50.0
0.0,369.5,0.0,51.0
0.0,369.5,0.0,52.0
0.0,369.5,0.0,53.0
0.0,369.5,0.0,54.0
0.0,369.5,0.0,55.0
0.0,369.5,0.0,56.0
0.0,369.5,0.0,57.0
0.0,369.5,0.0,58.0
0.0,369.5,0.0,59.0
0.0,369.5,0.0,60.0
0.0,369.6,0.0,61.0
0.0,369.5,0.0,62.0
0.0,369.5,0.0,63.0
0.0,369.5,0.0,64.0
0.0,369.6,0.0,65.0
0.0,369.6,0.0,66.0
0.0,369.6,0.0,67.0
0.0,369.6,0.0,68.0
0.0,369.6,0.0,69.0
0.0,369.6,0.0,70.0
0.0,369.6,0.0,71.0
0.0,369.6,0.0,72.0
0.0,369.7,0.0,73.0
0.0,369.6,0.0,74.0
0.0,369.7,0.0,75.0
0.0,369.7,0.0,76.0
0.0,369.3,0.0,77.0
0.0,369.4,0.0,78.0
0.0,369.3,0.0,79.0
0.0,369.4,0.0,80.0
0.0,369.4,0.0,81.0
0.0,369.5,0.0,82.0
0.36710000000000004,367.1,1.0,83.0
1.8185,363.7,5.0,84.0
3.2481,360.9,9.0,85.0
0.0,367.0,0.0,86.0
0.0,368.4,0.0,87.0
2.9024,362.8,8.0,88.0
4.2947999999999995,357.9,12.0,89.0
5.6768,354.8,16.0,90.0
7.038,351.9,20.0,91.0
3.578,357.8,10.0,92.0
0.7288,364.4,2.0,93.0
8.029300000000001,349.1,23.0,94.0
9.0116,346.6,26.0,95.0
9.6404,344.3,28.0,96.0
0.0,363.1,0.0,97.0
0.0,364.0,0.0,98.0
1.0875,362.5,3.0,99.0
5.977200000000001,351.6,17.0,100.0
7.3038,347.8,21.0,101.0
8.289599999999998,345.4,24.0,102.0
-0.3628,362.8,-1.0,103.0
0.0,362.7,0.0,104.0
5.3145,354.3,15.0,105.0
2.864,358.0,8.0,106.0
3.2022000000000004,355.8,9.0,107.0
6.94,347.0,20.0,108.0
7.9166,344.2,23.0,109.0
9.2421,342.3,27.0,110.0
-2.1881999999999997,364.7,-6.0,111.0
2.4913,355.9,7.0,112.0
0.0,360.5,0.0,113.0
0.0,360.9,0.0,114.0
6.242400000000001,346.8,18.0,115.0
7.5878,344.9,22.0,116.0
3.513,351.3,10.0,117.0
-0.3599,359.9,-1.0,118.0
0.0,359.7,0.0,119.0
0.0,360.4,0.0,120.0
7.2429,344.9,21.0,121.0
7.2177,343.7,21.0,122.0
8.535,341.4,25.0,123.0
9.778799999999999,337.2,29.0,124.0
-1.804,360.8,-5.0,125.0
0.0,357.8,0.0,126.0
4.526599999999999,348.2,13.0,127.0
5.863299999999999,344.9,17.0,128.0
7.1715,341.5,21.0,129.0
8.1456,339.4,24.0,130.0
3.1509,350.1,9.0,131.0
4.183200000000001,348.6,12.0,132.0
0.0,357.5,0.0,133.0
1.0683000000000002,356.1,3.0,134.0
6.517,343.0,19.0,135.0
7.504200000000001,341.1,22.0,136.0
9.0882,336.6,27.0,137.0
