kW,V,I,t
10.059,335.3,30.0,138.0
0.0,355.5,0.0,139.0
0.0,356.4,0.0,140.0
4.5058,346.6,13.0,141.0
5.8344,343.2,17.0,142.0
6.816,340.8,20.0,143.0
8.092799999999999,337.2,24.0,144.0
0.0,355.7,0.0,145.0
6.814,340.7,20.0,146.0
0.0,355.4,0.0,147.0
7.8338,340.6,23.0,148.0
6.4847,341.3,19.0,149.0
7.14,340.0,21.0,150.0
8.4425,337.7,25.0,151.0
-1.792,358.4,-5.0,152.0
1.0593000000000001,353.1,3.0,153.0
0.0,355.6,0.0,154.0
0.0,356.0,0.0,155.0
2.792,349.0,8.0,156.0
3.8115,346.5,11.0,157.0
4.8258,344.7,14.0,158.0
3.8181000000000003,347.1,11.0,159.0
0.7086,354.3,2.0,160.0
1.4092,352.3,4.0,161.0
2.109,351.5,6.0,162.0
0.0,356.3,0.0,163.0
1.4164,354.1,4.0,164.0
5.842899999999999,343.7,17.0,165.0
6.824,341.2,20.0,166.0
7.7855,338.5,23.0,167.0
9.3744,334.8,28.0,168.0
10.2796,331.6,31.0,169.0
0.0,353.8,0.0,170.0
0.0,354.8,0.0,171.0
4.1364,344.7,12.0,172.0
5.797,341.0,17.0,173.0
6.78,339.0,20.0,174.0
8.076,336.5,24.0,175.0
2.7696,346.2,8.0,176.0
0.0,352.7,0.0,177.0
0.0,353.9,0.0,178.0
5.139,342.6,15.0,179.0
5.785100000000001,340.3,17.0,180.0
7.0748999999999995,336.9,21.0,181.0
8.37,334.8,25.0,182.0
9.6048,331.2,29.0,183.0
0.0,352.5,0.0,184.0
0.0,352.9,0.0,185.0
0.0,353.4,0.0,186.0
0.0,353.8,0.0,187.0
5.797,341.0,17.0,188.0
7.098,338.0,21.0,189.0
1.3984,349.6,4.0,190.0
0.7044,352.2,2.0,191.0
0.0,353.9,0.0,192.0
0.7062,353.1,2.0,193.0
6.4562,339.8,19.0,194.0
6.782,339.1,20.0,195.0
7.7326,336.2,23.0,196.0
8.9802,332.6,27.0,197.0
10.1866,328.6,31.0,198.0
0.0,351.4,0.0,199.0
0.0,352.0,0.0,200.0
0.0,352.7,0.0,201.0
5.785100000000001,340.3,17.0,202.0
6.734,336.7,20.0,203.0
1.3948,348.7,4.0,204.0
0.7012,350.6,2.0,205.0
0.0,352.9,0.0,206.0
-0.3537,353.7,-1.0,207.0
0.0,353.5,0.0,208.0
5.4576,341.1,16.0,209.0
6.758,337.9,20.0,210.0
8.0328,334.7,24.0,211.0
9.2736,331.2,28.0,212.0
0.0,350.5,0.0,213.0
0.0,351.5,0.0,214.0
2.0886000000000005,348.1,6.0,215.0
0.0,352.3,0.0,216.0
0.0,352.8,0.0,217.0
5.112,340.8,15.0,218.0
-0.3533,353.3,-1.0,219.0
4.4668,343.6,13.0,220.0
0.0,353.3,0.0,221.0
0.0,353.6,0.0,222.0
-0.3551,355.1,-1.0,223.0
0.0,353.6,0.0,224.0
0.0,354.1,0.0,225.0
0.0,354.3,0.0,226.0
0.0,354.6,0.0,227.0
0.0,355.0,0.0,228.0
0.0,355.3,0.0,229.0
0.0,355.0,0.0,230.0
0.0,355.5,0.0,231.0
0.0,355.6,0.0,232.0
0.0,355.8,0.0,233.0
0.0,355.8,0.0,234.0
0.0,356.3,0.0,235.0
0.0,356.3,0.0,236.0
0.0,356.3,0.0,237.0
0.0,356.7,0.0,238.0
0.0,356.7,0.0,239.0
0.0,356.6,0.0,240.0
0.0,356.8,0.0,241.0
0.0,356.6,0.0,242.0
2.4514,350.2,7.0,243.0
3.479,347.9,10.0,244.0
1.4068,351.7,4.0,245.0
1.7565,351.3,5.0,246.0
1.4092,352.3,4.0,247.0
2.1006000000000005,350.1,6.0,248.0
7.817699999999999,339.9,23.0,249.0
1.0575,352.5,3.0,250.0
5.1555,343.7,15.0,251.0
-1.0683000000000002,356.1,-3.0,252.0
0.0,354.0,0.0,253.0
5.13,342.0,15.0,254.0
5.4656,341.6,16.0,255.0
2.7864,348.3,8.0,256.0
1.7475,349.5,5.0,257.0
7.7901,338.7,23.0,258.0
8.054400000000001,335.6,24.0,259.0
0.702,351.0,2.0,260.0
2.0831999999999997,347.2,6.0,261.0
0.0,352.6,0.0,262.0
0.0,353.2,0.0,263.0
0.0,353.2,0.0,264.0
0.0,353.6,0.0,265.0
0.0,354.1,0.0,266.0
3.1221,346.9,9.0,267.0
0.7042,352.1,2.0,268.0
0.0,354.1,0.0,269.0
0.0,354.1,0.0,270.0
0.0,354.1,0.0,271.0
0.0,354.7,0.0,272.0
0.0,354.8,0.0,273.0
0.0,354.7,0.0,274.0
0.0,354.8,0.0,275.0
0.0,355.2,0.0,276.0
0.0,355.5,0.0,277.0
0.0,355.5,0.0,278.0
0.0,355.7,0.0,279.0
0.0,355.7,0.0,280.0
0.0,355.9,0.0,281.0
0.0,355.6,0.0,282.0
0.0,356.1,0.0,283.0
0.0,356.0,0.0,284.0
0.0,356.3,0.0,285.0
0.0,356.1,0.0,286.0
0.7044,352.2,2.0,287.0
2.0988,349.8,6.0,288.0
0.3551,355.1,1.0,289.0
2.7824,347.8,8.0,290.0
1.0551,351.7,3.0,291.0
0.0,355.0,0.0,292.0
0.3541,354.1,1.0,293.0
2.1024,350.4,6.0,294.0
5.496,343.5,16.0,295.0
5.4688,341.8,16.0,296.0
6.4448,339.2,19.0,297.0
8.044799999999999,335.2,24.0,298.0
8.9694,332.2,27.0,299.0
0.0,351.5,0.0,300.0
1.747,349.4,5.0,301.0
0.0,352.5,0.0,302.0
5.778299999999999,339.9,17.0,303.0
6.716,335.8,20.0,304.0
7.994400000000001,333.1,24.0,305.0
7.970400000000001,332.1,24.0,306.0
0.0,350.2,0.0,307.0
0.0,350.9,0.0,308.0
0.0,351.2,0.0,309.0
7.361200000000001,334.6,22.0,310.0
7.6567,332.9,23.0,311.0
1.728,345.6,5.0,312.0
0.0,350.0,0.0,313.0
0.0,350.5,0.0,314.0
0.0,351.2,0.0,315.0
0.0,351.2,0.0,316.0
0.0,351.5,0.0,317.0
1.0494,349.8,3.0,318.0
1.0479,349.3,3.0,319.0
0.3507,350.7,1.0,320.0
0.0,352.2,0.0,321.0
0.0,351.9,0.0,322.0
0.0,352.3,0.0,323.0
0.0,352.5,0.0,324.0
0.0,352.4,0.0,325.0
0.3523,352.3,1.0,326.0
0.3517,351.7,1.0,327.0
0.7036,351.8,2.0,328.0
0.7024,351.2,2.0,329.0
2.094,349.0,6.0,330.0
1.3932,348.3,4.0,331.0
3.1041,344.9,9.0,332.0
4.4395,341.5,13.0,333.0
5.424,339.0,16.0,334.0
7.041300000000001,335.3,21.0,335.0
8.598199999999999,330.7,26.0,336.0
-0.3497,349.7,-1.0,337.0
0.0,349.9,0.0,338.0
0.0,350.0,0.0,339.0
0.0,350.6,0.0,340.0
5.732399999999999,337.2,17.0,341.0
7.0077,333.7,21.0,342.0
4.404400000000001,338.8,13.0,343.0
2.7424,342.8,8.0,344.0
0.6956,347.8,2.0,345.0
2.0718,345.3,6.0,346.0
0.0,349.3,0.0,347.0
0.349,349.0,1.0,348.0
4.7418000000000005,338.7,14.0,349.0
6.0318000000000005,335.1,18.0,350.0
7.640599999999999,332.2,23.0,351.0
8.535800000000002,328.3,26.0,352.0
0.0,347.1,0.0,353.0
0.0,347.9,0.0,354.0
1.0386,346.2,3.0,355.0
0.0,348.7,0.0,356.0
5.3696,335.6,16.0,357.0
6.334599999999999,333.4,19.0,358.0
5.693299999999999,334.9,17.0,359.0
6.632,331.6,20.0,360.0
5.004,333.6,15.0,361.0
0.0,346.0,0.0,362.0
0.0,346.6,0.0,363.0
6.654,332.7,20.0,364.0
6.622,331.1,20.0,365.0
7.886400000000001,328.6,24.0,366.0
0.345,345.0,1.0,367.0
0.0,346.3,0.0,368.0
2.0538000000000003,342.3,6.0,369.0
0.0,347.1,0.0,370.0
2.3947000000000003,342.1,7.0,371.0
4.6956,335.4,14.0,372.0
4.044,337.0,12.0,373.0
6.3156,332.4,19.0,374.0
4.046399999999999,337.2,12.0,375.0
1.3732,343.3,4.0,376.0
5.3696,335.6,16.0,377.0
0.0,346.7,0.0,378.0
0.0,346.8,0.0,379.0
5.3504,334.4,16.0,380.0
6.624,331.2,20.0,381.0
7.8432,326.8,24.0,382.0
6.596,329.8,20.0,383.0
2.0316,338.6,6.0,384.0
0.0,345.1,0.0,385.0
1.0311,343.7,3.0,386.0
5.3184,332.4,16.0,387.0
6.2681,329.9,19.0,388.0
7.824,326.0,24.0,389.0
5.2912,330.7,16.0,390.0
0.6834,341.7,2.0,391.0
1.0263000000000002,342.1,3.0,392.0
0.0,344.5,0.0,393.0
5.6304,331.2,17.0,394.0
5.943599999999999,330.2,18.0,395.0
7.1808,326.4,22.0,396.0
8.704799999999999,322.4,27.0,397.0
6.2073,326.7,19.0,398.0
0.0,342.2,0.0,399.0
0.0,343.0,0.0,400.0
0.0,343.8,0.0,401.0
0.0,344.5,0.0,402.0
0.0,344.8,0.0,403.0
4.054799999999999,337.9,12.0,404.0
4.989,332.6,15.0,405.0
6.251,329.0,19.0,406.0
7.502599999999999,326.2,23.0,407.0
8.7021,322.3,27.0,408.0
9.582,319.4,30.0,409.0
10.744,316.0,34.0,410.0
11.859800000000002,312.1,38.0,411.0
12.9528,308.4,42.0,412.0
13.7565,305.7,45.0,413.0
14.481599999999998,301.7,48.0,414.0
15.1929,297.9,51.0,415.0
16.159,293.8,55.0,416.0
16.535700000000002,290.1,57.0,417.0
17.172,286.2,60.0,418.0
0.0,334.5,0.0,419.0
0.0,336.1,0.0,420.0
0.0,337.0,0.0,421.0
0.0,337.4,0.0,422.0
0.0,337.9,0.0,423.0
0.0,338.9,0.0,424.0
3.966,330.5,12.0,425.0
3.9396000000000004,328.3,12.0,426.0
5.5165,324.5,17.0,427.0
6.7515,321.5,21.0,428.0
7.965000000000001,318.6,25.0,429.0
9.137900000000002,315.1,29.0,430.0
10.54,310.0,34.0,431.0
11.643199999999998,306.4,38.0,432.0
12.410699999999999,302.7,41.0,433.0
13.147200000000002,298.8,44.0,434.0
14.376599999999998,293.4,49.0,435.0
15.332900000000002,289.3,53.0,436.0
15.686,285.2,55.0,437.0
16.758,279.3,60.0,438.0
17.4464,272.6,64.0,439.0
18.060800000000004,265.6,68.0,440.0
-0.6394,319.7,-2.0,441.0
0.0,325.0,0.0,442.0
0.0,327.6,0.0,443.0
0.0,329.3,0.0,444.0
0.0,330.6,0.0,445.0
0.3318,331.8,1.0,446.0
0.0,333.0,0.0,447.0
4.821,321.4,15.0,448.0
3.24,324.0,10.0,449.0
-0.6686,334.3,-2.0,450.0
0.0,333.9,0.0,451.0
1.6525,330.5,5.0,452.0
5.769,320.5,18.0,453.0
0.9954000000000001,331.8,3.0,454.0
0.0,334.3,0.0,455.0
2.3107,330.1,7.0,456.0
2.9574000000000003,328.6,9.0,457.0
0.0,334.8,0.0,458.0
-0.6732,336.6,-2.0,459.0
5.805,322.5,18.0,460.0
7.0004,318.2,22.0,461.0
0.0,334.9,0.0,462.0
0.0,335.5,0.0,463.0
0.0,336.4,0.0,464.0
0.0,336.6,0.0,465.0
0.0,337.4,0.0,466.0
0.0,161.0,0.0,467.0
0.0,44.1,0.0,468.0
0.0,15.0,0.0,469.0
0.0,5.4,0.0,470.0
0.0,2.1,0.0,471.0
0.0,1.0,0.0,472.0
0.0,0.6,0.0,473.0
0.0,0.4,0.0,474.0
0.0,0.3,0.0,475.0
0.0,0.3,0.0,476.0
0.0,0.4,0.0,477.0
0.0,0.4,0.0,478.0
0.0,0.4,0.0,479.0
0.0,0.3,0.0,480.0
0.0,0.3,0.0,481.0
0.0,0.4,0.0,482.0
0.0,0.4,0.0,483.0
0.0,0.3,0.0,484.0
0.0,0.4,0.0,485.0
0.0,0.3,0.0,486.0
0.0,0.3,0.0,487.0
0.0,0.3,0.0,488.0
0.0,0.4,0.0,489.0
0.0,0.4,0.0,490.0
0.0,0.3,0.0,491.0
0.0,0.4,0.0,492.0
0.0,0.3,0.0,493.0
0.0,0.3,0.0,494.0
0.0,0.4,0.0,495.0
0.0,0.4,0.0,496.0
0.0,0.3,0.0,497.0
0.0,0.4,0.0,498.0
0.0,0.4,0.0,499.0
0.0,0.3,0.0,500.0
0.0,0.3,0.0,501.0
0.0,0.4,0.0,502.0
0.0,0.3,0.0,503.0
0.0,0.3,0.0,504.0
0.0,0.3,0.0,505.0
0.0,0.3,0.0,506.0
0.0,0.4,0.0,507.0
0.0,0.4,0.0,508.0
0.0,0.4,0.0,509.0
0.0,0.3,0.0,510.0
0.0,0.4,0.0,511.0
0.0,0.3,0.0,512.0
0.0,0.4,0.0,513.0
0.0,0.3,0.0,514.0
0.0,0.3,0.0,515.0
0.0,0.4,0.0,516.0
0.0,0.3,0.0,517.0
0.0,0.3,0.0,518.0
0.0,0.4,0.0,519.0
0.0,0.3,0.0,520.0
0.0,0.3,0.0,521.0
0.0,0.4,0.0,522.0
0.0,0.3,0.0,523.0
0.0,0.4,0.0,524.0
0.0,0.3,0.0,525.0
0.0,0.3,0.0,526.0
0.0,0.3,0.0,527.0
0.0,0.3,0.0,528.0
0.0,0.3,0.0,529.0
0.0,0.4,0.0,530.0
0.0,0.3,0.0,531.0
0.0,0.4,0.0,532.0
0.0,0.3,0.0,533.0
0.0,0.4,0.0,534.0
0.0,0.4,0.0,535.0
0.0,0.4,0.0,536.0
0.0,0.3,0.0,537.0
0.0,0.3,0.0,538.0
0.0,0.4,0.0,539.0
0.0,0.3,0.0,540.0
0.0,0.4,0.0,541.0
0.0,0.3,0.0,542.0
0.0,0.3,0.0,543.0
0.0,0.4,0.0,544.0
0.0,0.3,0.0,545.0
0.0,0.3,0.0,546.0
0.0,0.4,0.0,547.0
0.0,0.4,0.0,548.0
0.0,0.4,0.0,549.0
0.0,0.3,0.0,550.0
0.0,0.4,0.0,551.0
0.0,0.3,0.0,552.0
0.0,0.3,0.0,553.0
0.0,0.4,0.0,554.0
0.0,0.3,0.0,555.0
0.0,0.4,0.0,556.0
0.0,0.3,0.0,557.0
0.0,0.4,0.0,558.0
0.0,0.4,0.0,559.0
0.0,0.3,0.0,560.0
0.0,0.4,0.0,561.0
0.0,0.3,0.0,562.0
0.0,0.3,0.0,563.0
0.0,0.3,0.0,564.0
0.0,0.3,0.0,565.0
0.0,0.4,0.0,566.0
0.0,0.4,0.0,567.0
0.0,0.3,0.0,568.0
0.0,0.4,0.0,569.0
0.0,0.4,0.0,570.0
0.0,0.3,0.0,571.0
0.0,0.4,0.0,572.0
0.0,0.3,0.0,573.0
0.0,0.4,0.0,574.0
0.0,0.3,0.0,575.0
0.0,0.4,0.0,576.0
0.0,0.4,0.0,577.0
0.0,0.4,0.0,578.0
0.0,0.3,0.0,579.0
0.0,0.3,0.0,580.0
0.0,0.3,0.0,581.0
0.0,0.4,0.0,582.0
0.0,0.3,0.0,583.0
0.0,0.3,0.0,584.0
0.0,0.3,0.0,585.0
0.0,0.3,0.0,586.0
0.0,0.4,0.0,587.0
0.0,2.2,0.0,588.0
0.0,9.2,0.0,589.0
0.0,13.3,0.0,590.0
0.0,15.5,0.0,591.0
0.0,16.3,0.0,592.0
0.0,16.8,0.0,593.0
0.0,16.5,0.0,594.0
0.0,16.9,0.0,595.0
0.0,13.1,0.0,596.0
0.0,13.1,0.0,597.0
0.0,12.4,0.0,598.0
0.0,11.9,0.0,599.0
0.0,11.7,0.0,600.0
0.0,9.8,0.0,601.0
0.0,6.6,0.0,602.0
0.0,7.7,0.0,603.0
0.0,6.9,0.0,604.0
0.0,7.6,0.0,605.0
0.0,6.4,0.0,606.0
0.0,4.8,0.0,607.0
0.0,2.9,0.0,608.0
0.0,1.3,0.0,609.0
0.0,0.6,0.0,610.0
0.0,0.4,0.0,611.0
0.0,0.4,0.0,612.0
