kW,V,I,t1
0.0,464.9,0.0,21.0
0.0,464.9,0.0,21.0
0.0,464.9,0.0,21.0
0.0,464.9,0.0,21.0
0.0,464.9,0.0,21.0
0.0,464.9,0.0,21.0
0.0,464.9,0.0,21.0
0.0,464.9,0.0,21.0
0.0,464.9,0.0,21.0
0.0,464.9,0.0,21.0
0.0,464.9,0.0,21.0
0.0,464.9,0.0,21.0
0.0,464.9,0.0,21.0
0.0,464.9,0.0,21.0
0.0,464.9,0.0,21.0
0.0,464.9,0.0,21.0
0.0,464.9,0.0,21.0
0.0,464.9,0.0,21.0
0.0,464.9,0.0,21.0
0.0,464.9,0.0,21.0
0.0,464.9,0.0,21.0
0.0,464.9,0.0,21.0
0.0,464.9,0.0,21.0
0.0,464.9,0.0,21.0
0.0,464.9,0.0,21.0
0.0,464.9,0.0,21.0
0.0,464.9,0.0,21.0
0.0,464.9,0.0,21.0
0.0,464.9,0.0,21.0
0.0,464.9,0.0,21.0
0.0,464.9,0.0,21.0
0.0,464.9,0.0,21.0
0.0,464.9,0.0,21.0
0.0,464.9,0.0,21.0
0.0,464.9,0.0,21.0
0.0,464.9,0.0,21.0
0.0,464.9,0.0,21.0
0.0,464.9,0.0,21.0
0.0,464.9,0.0,21.0
0.0,464.9,0.0,21.0
0.0,464.9,0.0,21.0
0.0,464.9,0.0,21.0
0.0,464.9,0.0,21.0
0.0,464.9,0.0,21.0
0.0,464.9,0.0,21.0
0.0,464.9,0.0,21.0
0.0,464.9,0.0,21.0
0.0,464.9,0.0,21.0
0.0,464.9,0.0,21.0
0.0,464.9,0.0,21.0
0.0,464.9,0.0,21.0
0.0,464.9,0.0,21.0
0.0,464.9,0.0,21.0
0.0,464.9,0.0,21.0
0.0,464.9,0.0,21.0
0.0,464.9,0.0,21.0
0.0,464.9,0.0,21.0
0.0,464.9,0.0,21.0
0.0,464.9,0.0,21.0
0.0,464.9,0.0,21.0
0.0,464.9,0.0,21.0
0.0,464.9,0.0,21.0
0.0,464.9,0.0,21.0
0.0,464.9,0.0,21.0
0.0,464.9,0.0,21.0
0.0,464.9,0.0,21.0
0.0,464.9,0.0,21.0
0.0,464.9,0.0,21.0
0.0,464.9,0.0,21.0
0.0,464.9,0.0,21.0
0.0,464.9,0.0,21.0
0.0,464.9,0.0,21.0
0.0,464.9,0.0,21.0
0.0,464.9,0.0,21.0
0.0,464.9,0.0,21.0
0.0,464.9,0.0,21.0
0.0,464.9,0.0,21.0
0.0,464.9,0.0,21.0
0.0,464.9,0.0,21.0
0.0,464.9,0.0,21.0
0.0,464.9,0.0,21.0
0.0,464.9,0.0,21.0
0.0,464.9,0.0,21.0
0.0,464.9,0.0,21.0
0.0,464.9,0.0,21.0
0.0,464.9,0.0,21.0
0.0,464.9,0.0,21.0
0.0,464.9,0.0,21.0
