name,mass,resistance,k,ampacity,maxVoltage,minVoltage,nomVoltage,maxCrate,contCrate
Samsung 50s,0.07,0.013,830,5,4.2,2.5,3.6,9,5
Samsung 30q,0.048,0.026,830.0,3.0,4.2,2.5,3.6,7.0,5.0
Molicel p42A,0.07,0.016,830.0,4.2,4.2,2.5,3.6,11,7
Molicel p50B,0.07,0.008,830.0,5.0,4.2,2.5,3.6,12,5
Melasta 7.5ah,0.125,0.0018,800.0,7.5,4.35,3,3.8,15.0,10.0
Melasta 14ah,0.232,0.0012,800.0,14.0,4.35,3,3.8,15.0,10
Melasta 6.95ah,0.121,0.0025,800,6.95,4.35,3,3.8,20,13
HKMedia-14Ah,0.217,0.0024,830.0,14.0,4.45,3.0,3.9,20.0,12.0
